Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10 uF","C1206",14.300000,25.924999,0.000000,bottom
"C2","100nF","C0805",13.849987,19.860915,0.000000,bottom
"C3","1uF","C0603",18.000000,33.199999,0.000000,bottom
"C4","22 uF","C1206",20.100000,15.200000,90.000000,bottom
"C5","22 uF","C1206",24.300000,15.200000,90.000000,bottom
"C6","1uF","C0603",17.975000,31.099999,0.000000,bottom
"C7","10uF","C1206",21.375000,21.899999,0.000000,bottom
"C8","220pF","C0603",24.000000,38.800000,180.000000,bottom
"C9","220pF","C0603",19.800000,38.800000,0.000000,bottom
"C10","100nF","C0805",22.050000,19.650000,0.000000,bottom
"FB1","Ferrite","L0603",16.350000,38.050000,90.000000,bottom
"FB2","Ferrite","L0603",24.750000,34.350102,90.000000,bottom
"J1","Conn_02x13_Odd_Even","HDR-TH_26P-P2.54-V-F-R2-C13-S2.54-1",21.700000,9.400000,180.000000,bottom
"J2","Conn_02x13_Odd_Even","HDR-TH_26P-P2.54-V-F-R2-C13-S2.54-1",21.700000,47.450000,180.000000,bottom
"L1","3.3 u H","IND-SMD_L5.2-W5.2_IHLP2020CZER2R2M11",14.725000,15.349999,0.000000,bottom
"R1","54.9k","R0603",17.125000,20.224999,90.000000,bottom
"R2","10k","R0201",17.316541,22.685915,0.000000,bottom
"R3","10K","R1206",23.100000,26.050000,0.000000,bottom
"R4","100","R1206",12.975000,31.974999,90.000000,bottom
"R5","100","R1206",17.625000,28.724999,0.000000,bottom
"U1","TPS562201DDCR","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",14.125000,22.949999,180.000000,bottom
"U2","PAM8302AASCR","MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL",22.038208,31.679102,180.000000,bottom
"J3","B3B-PH-SM4-TB(LF)(SN)","CONN-SMD_B3B-PH-SM4-TBT-LF-SN",17.975000,17.262051,180.000000,top
"J4","~","CONN-TH_22035035",5.720130,42.418503,0.000000,top
"J5","~","CONN-TH_22035035",5.750000,37.000000,0.000000,top
"J6","~","CONN-TH_22035035",5.750000,31.668503,0.000000,top
"J7","~","CONN-TH_22035035",5.750000,26.250000,0.000000,top
"J8","~","CONN-TH_22035035",5.720130,20.918503,0.000000,top
"J9","~","CONN-TH_22035035",5.725000,15.500000,0.000000,top
"J10","Conn_01x02","CONN-TH_B2B-PH-K-S",22.400000,36.900000,0.000000,top
"J11","B3B-PH-SM4-TB(LF)(SN)","CONN-SMD_B3B-PH-SM4-TBT-LF-SN",17.925000,28.262509,0.000000,top
"J12","Conn_01x04_Pin","CONN-TH_B4B-PH-K-S",15.475000,2.699999,0.000000,top
"J13","Conn_01x04_Pin","CONN-TH_B4B-PH-K-S",26.075000,2.699999,0.000000,top
"J14","Conn_01x04_Pin","CONN-TH_B4B-PH-K-S",36.675000,2.699999,0.000000,top
"VR1","10K trim","RES-ADJ-TH_3362P",15.459995,34.879996,180.000000,top
